2990,OPEN,[History] Same task not being appended,wontfix,2022-01-09T02:13:48Z
2989,OPEN,Fails complete pipeline when encounters `RuntimeError`,wontfix,2022-01-09T02:13:49Z
2987,CLOSED,Multiple worker pods with a central scheduler in a Kubernetes setting,wontfix,2022-01-09T03:13:34Z
2986,OPEN,Problem using APScheduler to run Luigi (Worker signals broke),,2021-12-27T21:04:44Z
2983,CLOSED,Cannot add data in redis using redis_store ?,wontfix,2022-01-09T03:13:30Z
2982,CLOSED,How to debug when central luigi scheduler does not shown any task (all is 0) ?,wontfix,2022-01-09T03:13:29Z
2981,CLOSED,Nginx non-root url proxy_pass not working with Luigi,wontfix,2022-01-09T03:13:33Z
2980,CLOSED,Clean up Python 3.3/3.4 compatible code,wontfix,2022-01-09T03:13:28Z
2979,CLOSED,[Question] What should be the value of --address arg for luigid,,2020-08-12T22:01:30Z
2976,CLOSED,Failed to skip task on run time,wontfix,2022-01-09T03:13:31Z
2975,CLOSED,local_target.py - os.rename change to os.replace ?,wontfix,2022-10-11T07:32:10Z
2972,CLOSED,[Question] Setting proxy_pass for Luigi in nginx,,2020-07-17T22:07:04Z
2969,CLOSED,Luigi ListParameter None breaks when running with dynamic dependencies.,,2021-08-26T13:56:30Z
2967,CLOSED,Flaky behavior when using S3Target,,2022-01-09T03:05:02Z
2966,CLOSED,Feature request: Add 'timePartitioning' config to BigQuery job execution,wontfix,2022-01-09T03:13:26Z
2965,OPEN,luigi.contrib.azureblob needs updating,,2022-06-29T17:06:14Z
2963,CLOSED,MetastoreClient doesn't works with python 3,wontfix,2022-01-09T03:13:24Z
2962,CLOSED,Feature request: Expanded support for using resource throttling,wontfix,2022-01-09T03:13:25Z
2960,OPEN,Tasks RUNNING state long after `run` is complete,wontfix,2022-01-09T01:15:09Z
2959,CLOSED,Travis CI is missing a few collections of test cases,Medium code change, wontfix,2020-12-25T12:45:47Z
2949,CLOSED,Support Tornado>=6,,2020-08-10T14:35:43Z
2947,CLOSED,[Question] How to store history indefinitely?,,2023-07-26T16:53:26Z
2946,CLOSED,`config_path` should default to `{TaskName:parameterName}` in the case of inherit or shouldn't be deprecated,wontfix,2022-08-11T23:19:09Z
2944,CLOSED,how to register some callbacks to worker process?,wontfix,2020-10-04T04:19:40Z
2942,CLOSED,Can documentation be added on how to unit test workflows using luigi mock ?,wontfix,2020-09-20T05:00:57Z
2941,CLOSED,luigi leaves some zombie processes,wontfix,2024-01-10T19:18:46Z
2939,CLOSED,Threading.Thread.isAlive has been deprecated and removed in Python 3.9.,,2020-05-30T16:31:24Z
2938,CLOSED,ExternalProgramTask -- disabling capture_output,wontfix,2020-12-25T12:45:49Z
2937,CLOSED,Integrate with event-driven architecture,wontfix,2020-09-12T10:34:16Z
2936,OPEN,Cannot tests locally because codecov is expecting token,wontfix,2022-01-09T02:13:52Z
2935,OPEN,Completed tasks should not be removed from the cache,wontfix,2022-01-09T02:13:51Z
2933,CLOSED,RFC: Re-using task_history database for Targets and Airflow-like dashboards,wontfix,2021-02-21T12:59:39Z
2928,CLOSED,Workers stopping early,wontfix,2020-09-12T10:34:15Z
2926,CLOSED,add support for pyodbc driver for mssql server,wontfix,2020-08-22T20:02:00Z
2925,CLOSED,luigi re-runing tasks,,2020-04-26T08:29:28Z
2922,CLOSED,pykube is archived and no longer maintained,,2020-04-13T18:29:54Z
2920,CLOSED,[Questiion] Any way to write d3 or svg graph in a file ?,wontfix,2020-12-11T23:32:23Z
2917,CLOSED,config parsing inconsistency between Python 2 and Python 3,,2020-04-12T19:28:49Z
2916,CLOSED,inherits and requires fails with luigi.Task but does not fail with luigi.WrapperTask,,2021-06-07T14:05:17Z
2915,OPEN,Cannot set pdb breakpoint in `run()` method,,2023-05-01T14:06:53Z
2907,CLOSED,Luigi does not read by default luigi.toml file,wontfix,2020-07-11T02:47:32Z
2906,CLOSED,Make the stacktrace modal of the UI wider,wontfix,2020-08-31T00:23:13Z
2905,OPEN,Byte writing with localTarget,wontfix,2022-01-09T01:14:48Z
2902,CLOSED,Extend internal luigi-task-hist.db schema,wontfix,2020-07-02T07:42:39Z
2901,CLOSED,AWS SNS email with additional recipients only send to first,wontfix,2020-07-02T07:42:38Z
2899,CLOSED,Docker support,wontfix,2022-06-15T01:00:27Z
2898,CLOSED,luigi.toml file generating error with 2.8.11, but works with 2.8.9,wontfix,2020-07-04T18:07:52Z
2894,CLOSED,Auto Refresh,wontfix,2020-07-11T02:47:31Z
2892,CLOSED,path mixup on windows environment hdfs,wontfix,2020-06-20T17:33:04Z
2889,CLOSED,SVG does not capture dependency correctly, but D3 does,,2020-04-20T21:32:17Z
2888,CLOSED,Tasks don't fail although LocalTarget is not created,,2020-02-02T00:12:31Z
2887,CLOSED,Why not become a Apache or LF or CNCF project?,,2020-03-04T08:18:13Z
2886,CLOSED,Cant start luigid in background with Python 3.8,wontfix,2020-07-16T18:12:14Z
2884,CLOSED,How to trigger task by REST API ?,wontfix,2020-06-13T16:28:42Z
2883,CLOSED,Luigi Task History only shows latest of job run, weird behaviour upon server restart,wontfix,2020-05-30T09:58:50Z
2882,CLOSED,"there were tasks that were not granted run permission by the scheduler",wontfix,2020-07-04T18:07:51Z
2880,CLOSED,Exception on Windows thrown by RemoteFileSystem on putting file to ftp,wontfix,2020-05-22T06:45:48Z
2879,CLOSED,Unable to configure logging in 2.8.11 using TOML.,wontfix,2022-07-11T14:09:09Z
2873,CLOSED,update luigi.contrib.lsf.LSFJobTask._dump for python 3 (similar to #1683),wontfix,2020-05-01T01:48:15Z
2868,CLOSED,Fix simple typo: throug -> through,,2019-12-14T20:20:24Z
2867,CLOSED,Trouble running tutorial on "@inheritance",wontfix,2020-07-18T15:10:14Z
2864,OPEN,MissingParameterException with Config parent class,wontfix,2022-01-09T01:15:08Z
2858,CLOSED,Exception on macOS thrown by MockTarget() with 2 or more workers,wontfix,2020-04-28T03:54:46Z
2853,CLOSED,Feature request: Load logging config using JSON or YAML.,wontfix,2020-07-02T13:28:13Z
2830,CLOSED,Get ready for Python2 deprecation,Breaking change, Python2 deprecation,2020-06-02T08:28:50Z
2829,CLOSED,Don't spin down workers if pending tasks are waiting for available resources,wontfix,2020-04-14T18:06:11Z
2825,CLOSED,AttributeError: 'str' object has no attribute 'date_a',,2019-11-15T11:46:31Z
2824,CLOSED,Scheduler ignores task failure when getting Unfulfilled dependency at run time,wontfix,2020-08-31T00:23:14Z
2816,CLOSED,Ordering of SGE logging can crash but not output useful logging information,wontfix,2020-03-12T07:05:40Z
2814,CLOSED,test/contrib/kubernetes_test.py fails on master,wontfix,2020-03-12T07:05:40Z
2812,CLOSED,Luigi Passes List to json.loads When Using TOML Config and ListParameter,wontfix,2020-06-20T17:33:05Z
